Filename,Decade,Total number of faces,Is a face present?
GDL-1977-06-29-a-p0008.jpg,1970,0,0
GDL-1997-02-15-a-p0001.jpg,1990,2,1
GDL-1882-05-30-a-p0003.jpg,1880,0,0
GDL-1992-09-28-a-p0025.jpg,1990,0,0
GDL-1987-03-24-a-p0024.jpg,1980,0,0
GDL-1982-01-30-a-p0024.jpg,1980,0,0
GDL-1907-06-08-a-p0002.jpg,1900,0,0
GDL-1942-01-05-a-p0001.jpg,1940,0,0
GDL-1807-06-23-a-p0007.jpg,1800,1,1
GDL-1977-08-18-a-p0014.jpg,1970,1,1
GDL-1992-05-06-a-p0032.jpg,1990,1,1
GDL-1807-11-20-a-p0004.jpg,1800,0,0
GDL-1887-04-19-a-p0003.jpg,1880,0,0
GDL-1982-01-30-a-p0010.jpg,1980,1,1
GDL-1832-10-16-a-p0001.jpg,1830,0,0
GDL-1992-05-06-a-p0037.jpg,1990,0,0
GDL-1967-09-12-a-p0005.jpg,1960,0,0
GDL-1827-01-23-a-p0001.jpg,1820,0,0
GDL-1897-03-26-a-p0004.jpg,1890,0,0
GDL-1907-05-07-a-p0001.jpg,1900,0,0
GDL-1997-07-05-a-p0026.jpg,1990,0,0
GDL-1798-12-16-a-p0007.jpg,1790,1,1
GDL-1997-07-05-a-p0025.jpg,1990,0,0
GDL-1827-07-24-a-p0003.jpg,1820,0,0
GDL-1987-08-26-a-p0015.jpg,1980,1,1
GDL-1842-03-18-a-p0004.jpg,1840,0,0
GDL-1982-06-21-a-p0008.jpg,1980,0,0
GDL-1807-06-30-a-p0009.jpg,1800,0,0
GDL-1832-08-17-a-p0010.jpg,1830,0,0
GDL-1987-03-24-a-p0014.jpg,1980,0,0
GDL-1872-05-14-a-p0004.jpg,1870,0,0
GDL-1967-03-17-a-p0007.jpg,1960,0,0
GDL-1962-10-13-a-p0001.jpg,1960,0,0
GDL-1902-01-03-a-p0004.jpg,1900,0,0
GDL-1977-06-29-a-p0006.jpg,1970,0,0
GDL-1872-05-14-a-p0002.jpg,1870,0,0
GDL-1987-08-21-a-p0014.jpg,1980,0,0
GDL-1972-08-28-a-p0004.jpg,1970,1,1
GDL-1977-08-18-a-p0013.jpg,1970,0,0
GDL-1987-03-24-a-p0012.jpg,1980,0,0
GDL-1837-08-04-a-p0004.jpg,1830,0,0
GDL-1947-10-18-a-p0007.jpg,1940,0,0
GDL-1882-06-28-a-p0002.jpg,1880,0,0
GDL-1842-03-18-a-p0002.jpg,1840,0,0
GDL-1832-08-17-a-p0009.jpg,1830,0,0
GDL-1997-07-05-a-p0006.jpg,1990,0,0
GDL-1927-11-07-a-p0004.jpg,1920,0,0
GDL-1997-02-15-a-p0031.jpg,1990,0,0
GDL-1972-03-08-a-p0006.jpg,1970,1,1
GDL-1977-08-18-a-p0012.jpg,1970,0,0
GDL-1877-04-18-a-p0003.jpg,1870,0,0
GDL-1912-07-04-a-p0003.jpg,1910,0,0
GDL-1952-05-26-a-p0006.jpg,1950,0,0
GDL-1972-08-28-a-p0009.jpg,1970,0,0
GDL-1822-11-19-a-p0003.jpg,1820,0,0
GDL-1812-12-15-a-p0004.jpg,1810,0,0
GDL-1982-01-30-a-p0005.jpg,1980,1,1
GDL-1982-06-21-a-p0007.jpg,1980,0,0
GDL-1952-05-13-a-p0003.jpg,1950,1,1
GDL-1982-07-30-a-p0003.jpg,1980,1,1
GDL-1917-11-17-a-p0003.jpg,1910,1,1
GDL-1867-09-16-a-p0002.jpg,1860,0,0
GDL-1997-02-15-a-p0029.jpg,1990,3,1
GDL-1922-09-17-a-p0004.jpg,1920,0,0
GDL-1917-11-17-a-p0004.jpg,1910,0,0
GDL-1997-08-09-a-p0028.jpg,1990,0,0
GDL-1987-08-21-a-p0005.jpg,1980,0,0
GDL-1992-09-28-a-p0020.jpg,1990,2,1
GDL-1967-03-17-a-p0002.jpg,1960,1,1
GDL-1887-04-19-a-p0001.jpg,1880,0,0
GDL-1962-10-13-a-p0018.jpg,1960,0,0
GDL-1947-01-09-a-p0002.jpg,1940,0,0
GDL-1992-05-06-a-p0028.jpg,1990,0,0
GDL-1798-12-16-a-p0002.jpg,1790,0,0
GDL-1947-11-26-a-p0002.jpg,1940,0,0
GDL-1807-06-30-a-p0001.jpg,1800,0,0
GDL-1982-01-30-a-p0009.jpg,1980,0,0
GDL-1997-02-15-a-p0014.jpg,1990,0,0
GDL-1892-10-31-a-p0001.jpg,1890,0,0
GDL-1862-10-14-a-p0004.jpg,1860,0,0
GDL-1962-10-13-a-p0012.jpg,1960,0,0
GDL-1992-05-06-a-p0034.jpg,1990,0,0
GDL-1812-12-15-a-p0002.jpg,1810,1,1
GDL-1992-05-06-a-p0027.jpg,1990,0,0
GDL-1807-06-30-a-p0007.jpg,1800,0,0
GDL-1997-07-05-a-p0016.jpg,1990,0,0
GDL-1922-02-17-a-p0004.jpg,1920,0,0
GDL-1962-06-27-a-p0005.jpg,1960,0,0
GDL-1992-05-06-a-p0009.jpg,1990,1,1
GDL-1967-09-12-a-p0011.jpg,1960,0,0
GDL-1997-07-05-a-p0011.jpg,1990,0,0
GDL-1982-07-30-a-p0002.jpg,1980,0,0
GDL-1927-09-22-a-p0001.jpg,1920,1,1
GDL-1912-11-12-a-p0004.jpg,1910,0,0
GDL-1887-03-10-a-p0003.jpg,1880,0,0
GDL-1917-04-14-a-p0001.jpg,1910,0,0
GDL-1892-07-12-a-p0002.jpg,1890,0,0
GDL-1987-03-24-a-p0017.jpg,1980,1,1
GDL-1817-07-22-a-p0001.jpg,1810,0,0
GDL-1852-11-18-a-p0001.jpg,1850,0,0
GDL-1987-08-26-a-p0011.jpg,1980,1,1
GDL-1822-09-27-a-p0001.jpg,1820,0,0
GDL-1822-07-26-a-p0004.jpg,1820,0,0
GDL-1902-10-29-a-p0002.jpg,1900,0,0
GDL-1997-07-05-a-p0038.jpg,1990,1,1
GDL-1972-08-28-a-p0008.jpg,1970,0,0
GDL-1857-10-24-a-p0003.jpg,1850,0,0
GDL-1967-06-01-a-p0002.jpg,1960,0,0
GDL-1842-03-18-a-p0003.jpg,1840,0,0
GDL-1967-09-12-a-p0003.jpg,1960,0,0
GDL-1982-07-30-a-p0014.jpg,1980,0,0
GDL-1992-05-06-a-p0010.jpg,1990,0,0
GDL-1947-10-18-a-p0003.jpg,1940,1,1
GDL-1992-05-06-a-p0007.jpg,1990,0,0
GDL-1977-06-29-a-p0003.jpg,1970,0,0
GDL-1987-03-24-a-p0019.jpg,1980,1,1
GDL-1937-01-15-a-p0003.jpg,1930,2,1
GDL-1982-06-21-a-p0018.jpg,1980,1,1
GDL-1972-12-04-a-p0006.jpg,1970,0,0
GDL-1972-12-04-a-p0002.jpg,1970,0,0
GDL-1827-01-23-a-p0003.jpg,1820,0,0
GDL-1997-07-05-a-p0004.jpg,1990,0,0
GDL-1798-05-29-a-p0005.jpg,1790,0,0
GDL-1832-10-16-a-p0002.jpg,1830,0,0
GDL-1972-08-28-a-p0002.jpg,1970,0,0
GDL-1977-06-29-a-p0007.jpg,1970,0,0
GDL-1967-06-01-a-p0012.jpg,1960,0,0
GDL-1798-12-16-a-p0003.jpg,1790,0,0
GDL-1817-07-22-a-p0003.jpg,1810,0,0
GDL-1977-08-18-a-p0004.jpg,1970,0,0
GDL-1857-03-25-a-p0001.jpg,1850,0,0
GDL-1937-01-15-a-p0002.jpg,1930,0,0
GDL-1972-08-28-a-p0011.jpg,1970,0,0
GDL-1932-06-20-a-p0004.jpg,1930,0,0
GDL-1997-08-09-a-p0025.jpg,1990,0,0
GDL-1997-02-15-a-p0035.jpg,1990,1,1
GDL-1997-08-09-a-p0013.jpg,1990,0,0
GDL-1832-08-17-a-p0003.jpg,1830,1,1
GDL-1982-06-21-a-p0001.jpg,1980,0,0
GDL-1997-08-09-a-p0020.jpg,1990,1,1
GDL-1997-02-15-a-p0011.jpg,1990,0,0
GDL-1987-03-24-a-p0007.jpg,1980,0,0
GDL-1997-08-09-a-p0006.jpg,1990,0,0
GDL-1847-06-22-a-p0003.jpg,1840,0,0
GDL-1897-05-31-a-p0002.jpg,1890,0,0
GDL-1987-03-24-a-p0015.jpg,1980,0,0
GDL-1912-11-04-a-p0002.jpg,1910,0,0
GDL-1997-07-05-a-p0002.jpg,1990,0,0
GDL-1997-02-15-a-p0006.jpg,1990,0,0
GDL-1987-08-21-a-p0007.jpg,1980,0,0
GDL-1997-07-05-a-p0024.jpg,1990,2,1
GDL-1972-12-04-a-p0012.jpg,1970,0,0
GDL-1987-08-21-a-p0008.jpg,1980,0,0
GDL-1967-03-17-a-p0011.jpg,1960,0,0
GDL-1987-08-21-a-p0023.jpg,1980,1,1
GDL-1962-06-27-a-p0008.jpg,1960,0,0
GDL-1967-06-01-a-p0004.jpg,1960,0,0
GDL-1822-07-26-a-p0001.jpg,1820,0,0
GDL-1972-08-28-a-p0003.jpg,1970,0,0
GDL-1972-03-08-a-p0007.jpg,1970,0,0
GDL-1972-03-08-a-p0005.jpg,1970,0,0
GDL-1798-05-29-a-p0007.jpg,1790,0,0
GDL-1932-08-24-a-p0001.jpg,1930,0,0
GDL-1862-03-13-a-p0003.jpg,1860,1,1
GDL-1982-07-30-a-p0016.jpg,1980,2,1
GDL-1987-08-21-a-p0003.jpg,1980,0,0
GDL-1997-08-09-a-p0011.jpg,1990,0,0
GDL-1827-07-24-a-p0002.jpg,1820,0,0
GDL-1992-09-28-a-p0026.jpg,1990,0,0
GDL-1847-06-22-a-p0002.jpg,1840,0,0
GDL-1887-08-01-a-p0003.jpg,1880,0,0
GDL-1927-07-23-a-p0002.jpg,1920,0,0
GDL-1847-01-22-a-p0002.jpg,1840,0,0
GDL-1812-04-21-a-p0003.jpg,1810,0,0
GDL-1962-10-13-a-p0006.jpg,1960,0,0
GDL-1812-04-21-a-p0002.jpg,1810,0,0
GDL-1937-01-06-a-p0004.jpg,1930,0,0
GDL-1962-10-13-a-p0015.jpg,1960,0,0
GDL-1942-02-28-a-p0004.jpg,1940,0,0
GDL-1962-10-13-a-p0004.jpg,1960,0,0
GDL-1912-07-04-a-p0005.jpg,1910,0,0
GDL-1997-07-05-a-p0001.jpg,1990,0,0
GDL-1947-10-18-a-p0005.jpg,1940,1,1
GDL-1987-08-21-a-p0004.jpg,1980,0,0
GDL-1982-01-30-a-p0021.jpg,1980,0,0
GDL-1807-06-23-a-p0003.jpg,1800,0,0
GDL-1912-11-12-a-p0003.jpg,1910,0,0
GDL-1997-02-15-a-p0019.jpg,1990,0,0
GDL-1982-01-30-a-p0023.jpg,1980,0,0
GDL-1877-04-18-a-p0001.jpg,1870,0,0
GDL-1922-02-17-a-p0005.jpg,1920,2,1
GDL-1982-01-30-a-p0018.jpg,1980,1,1
GDL-1982-01-30-a-p0003.jpg,1980,1,1
GDL-1947-10-18-a-p0011.jpg,1940,1,1
GDL-1882-06-28-a-p0004.jpg,1880,0,0
GDL-1982-06-21-a-p0014.jpg,1980,0,0
GDL-1967-09-12-a-p0010.jpg,1960,1,1
GDL-1947-11-26-a-p0008.jpg,1940,0,0
GDL-1997-07-05-a-p0033.jpg,1990,0,0
GDL-1997-07-05-a-p0013.jpg,1990,0,0
GDL-1832-10-16-a-p0003.jpg,1830,0,0
GDL-1852-01-10-a-p0004.jpg,1850,0,0
GDL-1992-07-29-a-p0002.jpg,1990,1,1
GDL-1887-08-01-a-p0002.jpg,1880,0,0
GDL-1807-06-23-a-p0011.jpg,1800,0,0
GDL-1992-09-28-a-p0027.jpg,1990,1,1
GDL-1987-08-26-a-p0024.jpg,1980,0,0
GDL-1982-01-30-a-p0004.jpg,1980,0,0
GDL-1952-05-26-a-p0007.jpg,1950,0,0
GDL-1997-08-09-a-p0009.jpg,1990,0,0
GDL-1947-01-09-a-p0001.jpg,1940,0,0
GDL-1857-06-09-a-p0001.jpg,1850,0,0
GDL-1907-05-07-a-p0002.jpg,1900,0,0
GDL-1897-05-31-a-p0001.jpg,1890,0,0
GDL-1942-01-05-a-p0002.jpg,1940,0,0
GDL-1807-11-20-a-p0003.jpg,1800,1,1
GDL-1977-06-29-a-p0001.jpg,1970,0,0
GDL-1837-05-26-a-p0002.jpg,1830,0,0
GDL-1992-07-29-a-p0022.jpg,1990,0,0
GDL-1997-08-09-a-p0012.jpg,1990,1,1
GDL-1997-02-15-a-p0034.jpg,1990,2,1
GDL-1952-02-23-a-p0006.jpg,1950,0,0
GDL-1957-07-10-a-p0006.jpg,1950,0,0
GDL-1982-07-30-a-p0001.jpg,1980,0,0
GDL-1862-11-18-a-p0002.jpg,1860,0,0
GDL-1997-07-05-a-p0039.jpg,1990,1,1
GDL-1837-04-28-a-p0004.jpg,1830,0,0
GDL-1847-01-22-a-p0004.jpg,1840,0,0
GDL-1967-06-01-a-p0007.jpg,1960,1,1
GDL-1992-07-29-a-p0018.jpg,1990,0,0
GDL-1997-07-05-a-p0030.jpg,1990,0,0
GDL-1822-09-27-a-p0004.jpg,1820,0,0
GDL-1987-03-24-a-p0021.jpg,1980,0,0
GDL-1987-08-26-a-p0008.jpg,1980,0,0
GDL-1872-07-16-a-p0001.jpg,1870,0,0
GDL-1987-08-26-a-p0021.jpg,1980,1,1
GDL-1852-01-10-a-p0001.jpg,1850,0,0
GDL-1967-06-01-a-p0005.jpg,1960,0,0
GDL-1972-12-04-a-p0011.jpg,1970,0,0
GDL-1942-02-28-a-p0001.jpg,1940,0,0
GDL-1967-09-12-a-p0019.jpg,1960,1,1
GDL-1967-06-01-a-p0008.jpg,1960,0,0
GDL-1992-05-06-a-p0029.jpg,1990,5,1
GDL-1807-11-20-a-p0005.jpg,1800,0,0
GDL-1937-01-06-a-p0002.jpg,1930,0,0
GDL-1922-08-07-a-p0003.jpg,1920,0,0
GDL-1972-08-28-a-p0007.jpg,1970,0,0
GDL-1997-08-09-a-p0005.jpg,1990,1,1
GDL-1997-02-15-a-p0038.jpg,1990,0,0
GDL-1992-09-28-a-p0017.jpg,1990,2,1
GDL-1967-03-17-a-p0004.jpg,1960,0,0
GDL-1877-12-12-a-p0004.jpg,1870,0,0
GDL-1807-06-23-a-p0009.jpg,1800,0,0
GDL-1987-08-21-a-p0009.jpg,1980,0,0
GDL-1977-08-18-a-p0011.jpg,1970,0,0
GDL-1987-03-24-a-p0025.jpg,1980,0,0
GDL-1992-09-28-a-p0008.jpg,1990,0,0
GDL-1822-09-27-a-p0003.jpg,1820,0,0
GDL-1962-01-09-a-p0004.jpg,1960,0,0
GDL-1922-02-17-a-p0001.jpg,1920,0,0
GDL-1807-06-23-a-p0001.jpg,1800,0,0
GDL-1967-09-12-a-p0004.jpg,1960,0,0
GDL-1957-03-23-a-p0013.jpg,1950,0,0
GDL-1987-08-21-a-p0010.jpg,1980,2,1
GDL-1992-09-28-a-p0016.jpg,1990,0,0
GDL-1837-04-28-a-p0001.jpg,1830,0,0
GDL-1967-03-17-a-p0014.jpg,1960,0,0
GDL-1812-10-05-a-p0002.jpg,1810,0,0
GDL-1887-04-19-a-p0004.jpg,1880,0,0
GDL-1922-02-17-a-p0006.jpg,1920,0,0
GDL-1852-01-10-a-p0003.jpg,1850,0,0
GDL-1962-01-09-a-p0008.jpg,1960,0,0
GDL-1972-12-04-a-p0004.jpg,1970,0,0
GDL-1927-11-07-a-p0002.jpg,1920,0,0
GDL-1982-01-30-a-p0001.jpg,1980,1,1
GDL-1847-01-22-a-p0003.jpg,1840,0,0
GDL-1942-01-05-a-p0003.jpg,1940,0,0
GDL-1937-11-28-a-p0004.jpg,1930,0,0
GDL-1987-03-24-a-p0010.jpg,1980,0,0
GDL-1977-08-17-a-p0003.jpg,1970,0,0
GDL-1972-08-28-a-p0016.jpg,1970,0,0
GDL-1997-02-15-a-p0021.jpg,1990,1,1
GDL-1827-01-23-a-p0002.jpg,1820,0,0
GDL-1987-08-26-a-p0017.jpg,1980,0,0
GDL-1927-09-22-a-p0005.jpg,1920,1,1
GDL-1827-01-23-a-p0005.jpg,1820,0,0
GDL-1907-06-08-a-p0004.jpg,1900,0,0
GDL-1852-11-18-a-p0003.jpg,1850,0,0
GDL-1982-01-30-a-p0019.jpg,1980,0,0
GDL-1812-10-05-a-p0005.jpg,1810,1,1
GDL-1967-03-17-a-p0005.jpg,1960,0,0
GDL-1932-08-24-a-p0002.jpg,1930,0,0
GDL-1987-08-26-a-p0005.jpg,1980,0,0
GDL-1962-01-09-a-p0007.jpg,1960,0,0
GDL-1922-09-17-a-p0002.jpg,1920,0,0
GDL-1987-08-21-a-p0001.jpg,1980,1,1
GDL-1997-02-15-a-p0024.jpg,1990,1,1
GDL-1997-02-15-a-p0017.jpg,1990,0,0
GDL-1867-09-26-a-p0001.jpg,1860,0,0
GDL-1987-08-26-a-p0018.jpg,1980,1,1
GDL-1977-06-29-a-p0005.jpg,1970,1,1
GDL-1892-10-31-a-p0002.jpg,1890,0,0
GDL-1977-08-17-a-p0008.jpg,1970,0,0
GDL-1992-07-29-a-p0028.jpg,1990,1,1
GDL-1997-02-15-a-p0040.jpg,1990,1,1
GDL-1987-08-26-a-p0023.jpg,1980,2,1
GDL-1972-08-28-a-p0010.jpg,1970,0,0
GDL-1967-03-17-a-p0009.jpg,1960,1,1
GDL-1937-01-15-a-p0006.jpg,1930,0,0
GDL-1957-03-23-a-p0014.jpg,1950,0,0
GDL-1807-11-20-a-p0011.jpg,1800,0,0
GDL-1987-03-24-a-p0016.jpg,1980,0,0
GDL-1962-06-27-a-p0001.jpg,1960,0,0
GDL-1962-06-27-a-p0003.jpg,1960,0,0
GDL-1862-10-14-a-p0002.jpg,1860,0,0
GDL-1932-08-24-a-p0003.jpg,1930,1,1
GDL-1917-04-14-a-p0004.jpg,1910,0,0
GDL-1997-07-05-a-p0017.jpg,1990,0,0
GDL-1827-07-24-a-p0006.jpg,1820,0,0
GDL-1997-02-15-a-p0005.jpg,1990,0,0
GDL-1817-11-11-a-p0002.jpg,1810,0,0
GDL-1962-10-13-a-p0024.jpg,1960,0,0
GDL-1997-07-05-a-p0027.jpg,1990,0,0
GDL-1862-11-18-a-p0003.jpg,1860,0,0
GDL-1897-05-31-a-p0004.jpg,1890,0,0
GDL-1902-11-26-a-p0001.jpg,1900,0,0
GDL-1937-01-15-a-p0004.jpg,1930,0,0
GDL-1997-02-15-a-p0010.jpg,1990,0,0
GDL-1942-01-15-a-p0001.jpg,1940,3,1
GDL-1987-03-24-a-p0001.jpg,1980,1,1
GDL-1832-06-19-a-p0006.jpg,1830,0,0
GDL-1992-09-28-a-p0009.jpg,1990,0,0
GDL-1992-05-06-a-p0014.jpg,1990,0,0
GDL-1912-11-12-a-p0006.jpg,1910,0,0
